0 1 2
760 256 0
761 252 1
762 257 2
763 254 0
764 256 2
765 258 2
766 83 2
767 257 1
768 260 2
769 261 2
770 257 0
771 250 1
772 260 1
773 255 0
774 250 2
775 261 1
776 262 1
777 263 2
778 264 0
779 255 2
780 261 0
781 264 1
782 254 1
783 262 2
784 263 1
785 259 2
786 260 0
787 263 0
788 76 1
789 259 0
790 256 1
791 265 2
792 267 0
793 73 1
794 265 1
795 266 1
796 268 1
797 72 2
798 266 2
799 265 0
800 71 1
801 258 1
802 269 0
803 267 1
804 270 1
805 272 0
806 271 1
807 274 1
808 266 0
809 271 2
810 270 0
811 262 0
812 269 1
813 83 0
814 273 0
815 274 0
816 271 0
817 270 2
818 275 0
819 269 2
820 276 0
821 276 2
822 272 2
823 273 1
824 277 0
825 274 2
826 278 2
827 277 2
828 275 1
829 268 2
830 64 1
831 277 1
832 276 1
833 278 0
834 281 2
835 275 2
836 61 1
837 279 0
838 279 1
839 264 2
840 280 1
841 280 0
842 281 1
843 283 1
844 284 1
845 279 2
846 58 2
847 283 0
848 286 1
849 59 1
850 282 1
851 286 0
852 287 1
853 288 1
854 289 1
855 285 1
856 284 0
857 280 2
858 289 0
859 282 2
860 287 2
861 290 1
862 286 2
863 285 2
864 283 2
865 287 0
866 291 2
867 292 2
868 292 1
869 290 0
870 49 0
871 291 1
872 293 1
873 294 1
874 295 1
875 293 0
876 296 1
877 295 0
878 294 0
879 298 1
880 49 2
881 299 2
882 289 2
883 295 2
884 299 1
885 293 2
886 290 2
887 300 2
888 288 0
889 291 0
890 298 2
891 300 0
892 297 2
893 296 2
894 303 2
895 296 0
896 298 0
897 288 2
898 282 0
899 38 1
900 304 1
901 302 0
902 303 1
903 297 1
904 305 2
905 301 2
906 294 2
907 300 1
908 304 2
909 36 1
910 304 0
911 303 0
912 297 0
913 306 2
914 305 0
915 40 0
916 34 0
917 308 2
918 302 2
919 35 2
920 309 2
921 310 1
922 310 2
923 301 1
924 307 2
925 307 1
926 305 1
927 299 0
928 309 0
929 312 1
930 30 2
931 29 0
932 308 1
933 307 0
934 314 1
935 311 1
936 313 1
937 315 2
938 310 0
939 312 2
940 316 2
941 317 1
942 311 2
943 318 2
944 314 2
945 319 2
946 320 0
947 320 2
948 317 0
949 314 0
950 318 1
951 319 1
952 313 0
953 321 1
954 315 1
955 27 0
956 322 2
957 319 0
958 316 0
959 321 0
960 322 1
961 316 1
962 323 1
963 311 0
964 317 2
965 322 0
966 324 0
967 318 0
968 326 1
969 320 1
970 324 1
971 325 1
972 327 0
973 326 2
974 328 0
975 329 1
976 321 2
977 325 0
978 330 2
979 329 2
980 326 0
981 332 2
982 324 2
983 323 2
984 328 1
985 333 1
986 330 0
987 332 1
988 327 1
989 334 0
990 333 0
991 333 2
992 332 0
993 330 1
994 336 2
995 335 2
996 337 0
997 325 2
998 338 1
999 339 1
1000 340 2
1001 327 2
1002 19 1
1003 339 0
1004 337 1
1005 334 1
1006 339 2
1007 338 2
1008 334 2
1009 341 1
1010 328 2
1011 336 0
1012 341 0
1013 331 1
1014 331 2
1015 335 0
1016 329 0
